Round steak	18.37
Sirloin steak	23.39
Prime rib roast	32.95
Blade roast	16.43
Stewing beef	16.84
Ground beef, regular	12.19
Pork chops	12.61
Chicken	7.38
Bacon	6.79
Wieners	4.18
Canned sockeye salmon	4.36
Homogenized milk	2.47
Partly skimmed milk	2.32
Butter	4.94
Processed cheese food slices	2.58
Evaporated milk	1.91
Eggs	3.16
Bread	2.82
Soda crackers	3.21
Macaroni	1.50
Flour	4.86
Corn flakes	4.72
Apples	4.33
Bananas	1.56
Grapefruits	4.15
Oranges	4.10
Apple juice, canned	2.10
Orange juice, tetra-brick	4.15
Carrots	2.27
Celery	3.72
Mushrooms	8.51
Onions	2.20
Potatoes	7.51
French fried potatoes, frozen	2.58
Baked beans, canned	1.29
Tomatoes, canned	1.55
Tomato juice, canned	2.50
Ketchup	3.13
Sugar, white	2.79
Coffee, roasted	6.53
Coffee, instant	6.73
Tea (bags)	4.60
Cooking or salad oil	4.03
Soup, canned	1.13
Baby food	0.96
Peanut butter	3.29
Fruit flavoured crystals	1.98
Soft drinks, cola type	2.05
Soft drinks, lemon-lime type	1.98
Paper towels (rolls)	2.69
Facial tissue	2.82
Bathroom tissue (rolls)	2.58
Shampoo	3.96
Deodorant	4.39
Toothpaste	2.75
Cigarettes	106.9
Bitcoin	3837.00
